,x,y,z,qx,qy,qz,qw,type,map
0,4.06244089687,-1.88240663381,-0.4,0.0,0.0,0.0,1.0,1.0,1.0
1,3.02459339367,-2.40059248824,-0.4,0.0,0.0,0.0,1.0,1.0,1.0
2,2.20057873678,-3.0480067865,-0.4,0.0,0.0,0.0,1.0,1.0,1.0
3,1.3766260157,-3.7878296636,-0.4,0.0,0.0,0.0,1.0,1.0,1.0
4,0.430371208291,-4.28747197799,-0.4,0.0,0.0,0.0,1.0,1.0,1.0
5,-0.592246407701,-4.75020198338,-0.4,0.0,0.0,0.0,1.0,1.0,1.0
6,-1.58439099678,-5.12050272804,-0.4,0.0,0.0,0.0,1.0,1.0,1.0
7,-2.51560177072,-5.28746334929,-3.5,0.0,0.0,0.0,1.0,1.0,1.0
8,-3.37056147936,-5.32500054361,-4.2,0.0,0.0,0.0,1.0,1.0,1.0
9,-4.51550604234,-5.51058611367,-4.2,0.0,0.0,0.0,1.0,1.0,1.0
10,-5.59931833652,-5.78853922989,-4.1,0.0,0.0,0.0,1.0,1.0,1.0
11,-6.68310590665,-6.10345567903,-3.9,0.0,0.0,0.0,1.0,1.0,1.0
12,-7.76689355512,-6.41837200057,-3.8,0.0,0.0,0.0,1.0,1.0,1.0
13,-8.8201089389,-6.78871291317,-3.6,0.0,0.0,0.0,1.0,1.0,1.0
14,-9.85806920956,-7.14056174364,-3.4,0.0,0.0,0.0,1.0,1.0,1.0
15,-10.9418942458,-7.4000325012,-3.2,0.0,0.0,0.0,1.0,1.0,1.0
16,-11.9951222501,-7.75189132057,-3.1,0.0,0.0,0.0,1.0,1.0,1.0
17,-13.0789597926,-7.99288009573,-3.0,0.0,0.0,0.0,1.0,1.0,1.0
18,-14.1474431559,-8.36323062843,-2.9,0.0,0.0,0.0,1.0,1.0,1.0
19,-15.2006590143,-8.7335708118,-2.8,0.0,0.0,0.0,1.0,1.0,1.0
20,-16.2997272225,-9.03001462435,-2.7,0.0,0.0,0.0,1.0,1.0,1.0
21,-17.3835155365,-9.34492981294,-2.6,0.0,0.0,0.0,1.0,1.0,1.0
22,-18.4520115994,-9.69679811504,-2.4,0.0,0.0,0.0,1.0,1.0,1.0
23,-19.5663228767,-10.0302152163,-2.3,0.0,0.0,0.0,1.0,1.0,1.0
24,-20.634843835,-10.3451198055,-2.2,0.0,0.0,0.0,1.0,1.0,1.0
25,-21.703327768,-10.7154694609,-2.2,0.0,0.0,0.0,1.0,1.0,1.0
26,-22.7565318367,-11.1042905082,-2.1,0.0,0.0,0.0,1.0,1.0,1.0
27,-23.8403082532,-11.4376866673,-2.0,0.0,0.0,0.0,1.0,1.0,1.0
28,-24.8782325472,-11.8449789938,-2.0,0.0,0.0,0.0,1.0,1.0,1.0
29,-25.9314368758,-12.2337996773,-2.0,0.0,0.0,0.0,1.0,1.0,1.0
30,-26.9998965337,-12.6411121762,-1.9,0.0,0.0,0.0,1.0,1.0,1.0
31,-28.0683809869,-13.0114610931,-1.9,0.0,0.0,0.0,1.0,1.0,1.0
32,-29.1368778753,-13.3633281537,-1.8,0.0,0.0,0.0,1.0,1.0,1.0
33,-30.2206547912,-13.6967235617,-1.8,0.0,0.0,0.0,1.0,1.0,1.0
34,-31.3044194399,-14.0486005726,-1.7,0.0,0.0,0.0,1.0,1.0,1.0
35,-32.372891885,-14.4374307171,-1.7,0.0,0.0,0.0,1.0,1.0,1.0
36,-33.4413890995,-14.7892972799,-1.6,0.0,0.0,0.0,1.0,1.0,1.0
37,-34.5251293213,-15.1781373695,-1.6,0.0,0.0,0.0,1.0,1.0,1.0
38,-35.5936267056,-15.5300036813,-1.5,0.0,0.0,0.0,1.0,1.0,1.0
39,-36.6774164424,-15.8449165989,-1.5,0.0,0.0,0.0,1.0,1.0,1.0
40,-37.730646392,-16.1967724734,-1.4,0.0,0.0,0.0,1.0,1.0,1.0
41,-38.7838517567,-16.5855916869,-1.4,0.0,0.0,0.0,1.0,1.0,1.0
42,-39.8370695357,-16.9559290498,-1.3,0.0,0.0,0.0,1.0,1.0,1.0
43,-40.890238102,-17.4001932107,-1.2,0.0,0.0,0.0,1.0,1.0,1.0
44,-41.9434190935,-17.8259755229,-1.2,0.0,0.0,0.0,1.0,1.0,1.0
45,-43.0577445138,-18.1409080499,-1.1,0.0,0.0,0.0,1.0,1.0,1.0
46,-44.1262795283,-18.4373281812,-1.1,0.0,0.0,0.0,1.0,1.0,1.0
47,-45.1336702895,-18.8445978658,-1.2,0.0,0.0,0.0,1.0,1.0,1.0
48,-46.1869132179,-19.1779710432,-1.3,0.0,0.0,0.0,1.0,1.0,1.0
49,-47.2706791117,-19.5298461728,-1.2,0.0,0.0,0.0,1.0,1.0,1.0
50,-48.3392267326,-19.8077840852,-1.2,0.0,0.0,0.0,1.0,1.0,1.0
51,-49.3772515103,-20.0672198087,-0.9,0.0,0.0,0.0,1.0,1.0,1.0
52,-50.4763467734,-20.3266960806,-0.8,0.0,0.0,0.0,1.0,1.0,1.0
53,-51.5143839809,-20.5676498311,-0.8,0.0,0.0,0.0,1.0,1.0,1.0
54,-52.5981748452,-20.8825608762,-0.8,0.0,0.0,0.0,1.0,1.0,1.0
55,-53.6514428683,-21.1789697385,-1.0,0.0,0.0,0.0,1.0,1.0,1.0
56,-54.7351969868,-21.5493257195,-1.3,0.0,0.0,0.0,1.0,1.0,1.0
57,-55.8953875955,-21.7718785224,-1.2,0.0,0.0,0.0,1.0,1.0,1.0
58,-57.0555782621,-21.9944311804,-1.3,0.0,0.0,0.0,1.0,1.0,1.0
59,-58.1241141698,-22.2908496871,-1.2,0.0,0.0,0.0,1.0,1.0,1.0
60,-59.1468473149,-22.5872376151,-1.1,0.0,0.0,0.0,1.0,1.0,1.0
61,-60.2000665925,-22.9575726464,-1.2,0.0,0.0,0.0,1.0,1.0,1.0
